,voronoi_id,user_id,timestamp,weekday,hour,states
0,75,1,2019-01-17 12:00:00,4,12,"[Row(neighbors=75, props=0.3700000047683716), Row(neighbors=73, props=0.07400000095367432), Row(neighbors=70, props=0.07400000095367432), Row(neighbors=47, props=0.07400000095367432), Row(neighbors=68, props=0.07400000095367432), Row(neighbors=107, props=0.07400000095367432), Row(neighbors=89, props=0.013636363670229912), Row(neighbors=3, props=0.013636363670229912), Row(neighbors=96, props=0.013636363670229912), Row(neighbors=88, props=0.013636363670229912), Row(neighbors=40, props=0.013636363670229912), Row(neighbors=7, props=0.013636363670229912), Row(neighbors=106, props=0.013636363670229912), Row(neighbors=76, props=0.013636363670229912), Row(neighbors=93, props=0.013636363670229912), Row(neighbors=77, props=0.013636363670229912), Row(neighbors=27, props=0.013636363670229912), Row(neighbors=2, props=0.0037499999161809683), Row(neighbors=64, props=0.0037499999161809683), Row(neighbors=37, props=0.0037499999161809683), Row(neighbors=113, props=0.0037499999161809683), Row(neighbors=79, props=0.0037499999161809683), Row(neighbors=52, props=0.0037499999161809683), Row(neighbors=82, props=0.0037499999161809683), Row(neighbors=111, props=0.0037499999161809683), Row(neighbors=69, props=0.0037499999161809683), Row(neighbors=51, props=0.0037499999161809683), Row(neighbors=102, props=0.0037499999161809683), Row(neighbors=56, props=0.0037499999161809683), Row(neighbors=44, props=0.0037499999161809683), Row(neighbors=41, props=0.0037499999161809683), Row(neighbors=55, props=0.0037499999161809683), Row(neighbors=11, props=0.0037499999161809683)]"
1,75,1,2019-01-17 12:05:00,4,12,"[Row(neighbors=75, props=0.3700000047683716), Row(neighbors=73, props=0.07400000095367432), Row(neighbors=70, props=0.07400000095367432), Row(neighbors=47, props=0.07400000095367432), Row(neighbors=68, props=0.07400000095367432), Row(neighbors=107, props=0.07400000095367432), Row(neighbors=89, props=0.013636363670229912), Row(neighbors=3, props=0.013636363670229912), Row(neighbors=96, props=0.013636363670229912), Row(neighbors=88, props=0.013636363670229912), Row(neighbors=40, props=0.013636363670229912), Row(neighbors=7, props=0.013636363670229912), Row(neighbors=106, props=0.013636363670229912), Row(neighbors=76, props=0.013636363670229912), Row(neighbors=93, props=0.013636363670229912), Row(neighbors=77, props=0.013636363670229912), Row(neighbors=27, props=0.013636363670229912), Row(neighbors=2, props=0.0037499999161809683), Row(neighbors=64, props=0.0037499999161809683), Row(neighbors=37, props=0.0037499999161809683), Row(neighbors=113, props=0.0037499999161809683), Row(neighbors=79, props=0.0037499999161809683), Row(neighbors=52, props=0.0037499999161809683), Row(neighbors=82, props=0.0037499999161809683), Row(neighbors=111, props=0.0037499999161809683), Row(neighbors=69, props=0.0037499999161809683), Row(neighbors=51, props=0.0037499999161809683), Row(neighbors=102, props=0.0037499999161809683), Row(neighbors=56, props=0.0037499999161809683), Row(neighbors=44, props=0.0037499999161809683), Row(neighbors=41, props=0.0037499999161809683), Row(neighbors=55, props=0.0037499999161809683), Row(neighbors=11, props=0.0037499999161809683)]"
2,75,1,2019-01-17 12:10:00,4,12,"[Row(neighbors=75, props=0.3700000047683716), Row(neighbors=73, props=0.07400000095367432), Row(neighbors=70, props=0.07400000095367432), Row(neighbors=47, props=0.07400000095367432), Row(neighbors=68, props=0.07400000095367432), Row(neighbors=107, props=0.07400000095367432), Row(neighbors=89, props=0.013636363670229912), Row(neighbors=3, props=0.013636363670229912), Row(neighbors=96, props=0.013636363670229912), Row(neighbors=88, props=0.013636363670229912), Row(neighbors=40, props=0.013636363670229912), Row(neighbors=7, props=0.013636363670229912), Row(neighbors=106, props=0.013636363670229912), Row(neighbors=76, props=0.013636363670229912), Row(neighbors=93, props=0.013636363670229912), Row(neighbors=77, props=0.013636363670229912), Row(neighbors=27, props=0.013636363670229912), Row(neighbors=2, props=0.0037499999161809683), Row(neighbors=64, props=0.0037499999161809683), Row(neighbors=37, props=0.0037499999161809683), Row(neighbors=113, props=0.0037499999161809683), Row(neighbors=79, props=0.0037499999161809683), Row(neighbors=52, props=0.0037499999161809683), Row(neighbors=82, props=0.0037499999161809683), Row(neighbors=111, props=0.0037499999161809683), Row(neighbors=69, props=0.0037499999161809683), Row(neighbors=51, props=0.0037499999161809683), Row(neighbors=102, props=0.0037499999161809683), Row(neighbors=56, props=0.0037499999161809683), Row(neighbors=44, props=0.0037499999161809683), Row(neighbors=41, props=0.0037499999161809683), Row(neighbors=55, props=0.0037499999161809683), Row(neighbors=11, props=0.0037499999161809683)]"
3,75,1,2019-01-17 12:15:00,4,12,"[Row(neighbors=75, props=0.3700000047683716), Row(neighbors=73, props=0.07400000095367432), Row(neighbors=70, props=0.07400000095367432), Row(neighbors=47, props=0.07400000095367432), Row(neighbors=68, props=0.07400000095367432), Row(neighbors=107, props=0.07400000095367432), Row(neighbors=89, props=0.013636363670229912), Row(neighbors=3, props=0.013636363670229912), Row(neighbors=96, props=0.013636363670229912), Row(neighbors=88, props=0.013636363670229912), Row(neighbors=40, props=0.013636363670229912), Row(neighbors=7, props=0.013636363670229912), Row(neighbors=106, props=0.013636363670229912), Row(neighbors=76, props=0.013636363670229912), Row(neighbors=93, props=0.013636363670229912), Row(neighbors=77, props=0.013636363670229912), Row(neighbors=27, props=0.013636363670229912), Row(neighbors=2, props=0.0037499999161809683), Row(neighbors=64, props=0.0037499999161809683), Row(neighbors=37, props=0.0037499999161809683), Row(neighbors=113, props=0.0037499999161809683), Row(neighbors=79, props=0.0037499999161809683), Row(neighbors=52, props=0.0037499999161809683), Row(neighbors=82, props=0.0037499999161809683), Row(neighbors=111, props=0.0037499999161809683), Row(neighbors=69, props=0.0037499999161809683), Row(neighbors=51, props=0.0037499999161809683), Row(neighbors=102, props=0.0037499999161809683), Row(neighbors=56, props=0.0037499999161809683), Row(neighbors=44, props=0.0037499999161809683), Row(neighbors=41, props=0.0037499999161809683), Row(neighbors=55, props=0.0037499999161809683), Row(neighbors=11, props=0.0037499999161809683)]"
4,75,1,2019-01-17 12:20:00,4,12,"[Row(neighbors=75, props=0.3700000047683716), Row(neighbors=73, props=0.07400000095367432), Row(neighbors=70, props=0.07400000095367432), Row(neighbors=47, props=0.07400000095367432), Row(neighbors=68, props=0.07400000095367432), Row(neighbors=107, props=0.07400000095367432), Row(neighbors=89, props=0.013636363670229912), Row(neighbors=3, props=0.013636363670229912), Row(neighbors=96, props=0.013636363670229912), Row(neighbors=88, props=0.013636363670229912), Row(neighbors=40, props=0.013636363670229912), Row(neighbors=7, props=0.013636363670229912), Row(neighbors=106, props=0.013636363670229912), Row(neighbors=76, props=0.013636363670229912), Row(neighbors=93, props=0.013636363670229912), Row(neighbors=77, props=0.013636363670229912), Row(neighbors=27, props=0.013636363670229912), Row(neighbors=2, props=0.0037499999161809683), Row(neighbors=64, props=0.0037499999161809683), Row(neighbors=37, props=0.0037499999161809683), Row(neighbors=113, props=0.0037499999161809683), Row(neighbors=79, props=0.0037499999161809683), Row(neighbors=52, props=0.0037499999161809683), Row(neighbors=82, props=0.0037499999161809683), Row(neighbors=111, props=0.0037499999161809683), Row(neighbors=69, props=0.0037499999161809683), Row(neighbors=51, props=0.0037499999161809683), Row(neighbors=102, props=0.0037499999161809683), Row(neighbors=56, props=0.0037499999161809683), Row(neighbors=44, props=0.0037499999161809683), Row(neighbors=41, props=0.0037499999161809683), Row(neighbors=55, props=0.0037499999161809683), Row(neighbors=11, props=0.0037499999161809683)]"
5,75,1,2019-01-17 12:25:00,4,12,"[Row(neighbors=75, props=0.3700000047683716), Row(neighbors=73, props=0.07400000095367432), Row(neighbors=70, props=0.07400000095367432), Row(neighbors=47, props=0.07400000095367432), Row(neighbors=68, props=0.07400000095367432), Row(neighbors=107, props=0.07400000095367432), Row(neighbors=89, props=0.013636363670229912), Row(neighbors=3, props=0.013636363670229912), Row(neighbors=96, props=0.013636363670229912), Row(neighbors=88, props=0.013636363670229912), Row(neighbors=40, props=0.013636363670229912), Row(neighbors=7, props=0.013636363670229912), Row(neighbors=106, props=0.013636363670229912), Row(neighbors=76, props=0.013636363670229912), Row(neighbors=93, props=0.013636363670229912), Row(neighbors=77, props=0.013636363670229912), Row(neighbors=27, props=0.013636363670229912), Row(neighbors=2, props=0.0037499999161809683), Row(neighbors=64, props=0.0037499999161809683), Row(neighbors=37, props=0.0037499999161809683), Row(neighbors=113, props=0.0037499999161809683), Row(neighbors=79, props=0.0037499999161809683), Row(neighbors=52, props=0.0037499999161809683), Row(neighbors=82, props=0.0037499999161809683), Row(neighbors=111, props=0.0037499999161809683), Row(neighbors=69, props=0.0037499999161809683), Row(neighbors=51, props=0.0037499999161809683), Row(neighbors=102, props=0.0037499999161809683), Row(neighbors=56, props=0.0037499999161809683), Row(neighbors=44, props=0.0037499999161809683), Row(neighbors=41, props=0.0037499999161809683), Row(neighbors=55, props=0.0037499999161809683), Row(neighbors=11, props=0.0037499999161809683)]"
6,75,1,2019-01-17 12:30:00,4,12,"[Row(neighbors=75, props=0.3700000047683716), Row(neighbors=73, props=0.07400000095367432), Row(neighbors=70, props=0.07400000095367432), Row(neighbors=47, props=0.07400000095367432), Row(neighbors=68, props=0.07400000095367432), Row(neighbors=107, props=0.07400000095367432), Row(neighbors=89, props=0.013636363670229912), Row(neighbors=3, props=0.013636363670229912), Row(neighbors=96, props=0.013636363670229912), Row(neighbors=88, props=0.013636363670229912), Row(neighbors=40, props=0.013636363670229912), Row(neighbors=7, props=0.013636363670229912), Row(neighbors=106, props=0.013636363670229912), Row(neighbors=76, props=0.013636363670229912), Row(neighbors=93, props=0.013636363670229912), Row(neighbors=77, props=0.013636363670229912), Row(neighbors=27, props=0.013636363670229912), Row(neighbors=2, props=0.0037499999161809683), Row(neighbors=64, props=0.0037499999161809683), Row(neighbors=37, props=0.0037499999161809683), Row(neighbors=113, props=0.0037499999161809683), Row(neighbors=79, props=0.0037499999161809683), Row(neighbors=52, props=0.0037499999161809683), Row(neighbors=82, props=0.0037499999161809683), Row(neighbors=111, props=0.0037499999161809683), Row(neighbors=69, props=0.0037499999161809683), Row(neighbors=51, props=0.0037499999161809683), Row(neighbors=102, props=0.0037499999161809683), Row(neighbors=56, props=0.0037499999161809683), Row(neighbors=44, props=0.0037499999161809683), Row(neighbors=41, props=0.0037499999161809683), Row(neighbors=55, props=0.0037499999161809683), Row(neighbors=11, props=0.0037499999161809683)]"
7,75,1,2019-01-17 12:35:00,4,12,"[Row(neighbors=75, props=0.3700000047683716), Row(neighbors=73, props=0.07400000095367432), Row(neighbors=70, props=0.07400000095367432), Row(neighbors=47, props=0.07400000095367432), Row(neighbors=68, props=0.07400000095367432), Row(neighbors=107, props=0.07400000095367432), Row(neighbors=89, props=0.013636363670229912), Row(neighbors=3, props=0.013636363670229912), Row(neighbors=96, props=0.013636363670229912), Row(neighbors=88, props=0.013636363670229912), Row(neighbors=40, props=0.013636363670229912), Row(neighbors=7, props=0.013636363670229912), Row(neighbors=106, props=0.013636363670229912), Row(neighbors=76, props=0.013636363670229912), Row(neighbors=93, props=0.013636363670229912), Row(neighbors=77, props=0.013636363670229912), Row(neighbors=27, props=0.013636363670229912), Row(neighbors=2, props=0.0037499999161809683), Row(neighbors=64, props=0.0037499999161809683), Row(neighbors=37, props=0.0037499999161809683), Row(neighbors=113, props=0.0037499999161809683), Row(neighbors=79, props=0.0037499999161809683), Row(neighbors=52, props=0.0037499999161809683), Row(neighbors=82, props=0.0037499999161809683), Row(neighbors=111, props=0.0037499999161809683), Row(neighbors=69, props=0.0037499999161809683), Row(neighbors=51, props=0.0037499999161809683), Row(neighbors=102, props=0.0037499999161809683), Row(neighbors=56, props=0.0037499999161809683), Row(neighbors=44, props=0.0037499999161809683), Row(neighbors=41, props=0.0037499999161809683), Row(neighbors=55, props=0.0037499999161809683), Row(neighbors=11, props=0.0037499999161809683)]"
8,75,1,2019-01-17 12:40:00,4,12,"[Row(neighbors=75, props=0.3700000047683716), Row(neighbors=73, props=0.07400000095367432), Row(neighbors=70, props=0.07400000095367432), Row(neighbors=47, props=0.07400000095367432), Row(neighbors=68, props=0.07400000095367432), Row(neighbors=107, props=0.07400000095367432), Row(neighbors=89, props=0.013636363670229912), Row(neighbors=3, props=0.013636363670229912), Row(neighbors=96, props=0.013636363670229912), Row(neighbors=88, props=0.013636363670229912), Row(neighbors=40, props=0.013636363670229912), Row(neighbors=7, props=0.013636363670229912), Row(neighbors=106, props=0.013636363670229912), Row(neighbors=76, props=0.013636363670229912), Row(neighbors=93, props=0.013636363670229912), Row(neighbors=77, props=0.013636363670229912), Row(neighbors=27, props=0.013636363670229912), Row(neighbors=2, props=0.0037499999161809683), Row(neighbors=64, props=0.0037499999161809683), Row(neighbors=37, props=0.0037499999161809683), Row(neighbors=113, props=0.0037499999161809683), Row(neighbors=79, props=0.0037499999161809683), Row(neighbors=52, props=0.0037499999161809683), Row(neighbors=82, props=0.0037499999161809683), Row(neighbors=111, props=0.0037499999161809683), Row(neighbors=69, props=0.0037499999161809683), Row(neighbors=51, props=0.0037499999161809683), Row(neighbors=102, props=0.0037499999161809683), Row(neighbors=56, props=0.0037499999161809683), Row(neighbors=44, props=0.0037499999161809683), Row(neighbors=41, props=0.0037499999161809683), Row(neighbors=55, props=0.0037499999161809683), Row(neighbors=11, props=0.0037499999161809683)]"
9,75,1,2019-01-17 12:45:00,4,12,"[Row(neighbors=75, props=0.3700000047683716), Row(neighbors=73, props=0.07400000095367432), Row(neighbors=70, props=0.07400000095367432), Row(neighbors=47, props=0.07400000095367432), Row(neighbors=68, props=0.07400000095367432), Row(neighbors=107, props=0.07400000095367432), Row(neighbors=89, props=0.013636363670229912), Row(neighbors=3, props=0.013636363670229912), Row(neighbors=96, props=0.013636363670229912), Row(neighbors=88, props=0.013636363670229912), Row(neighbors=40, props=0.013636363670229912), Row(neighbors=7, props=0.013636363670229912), Row(neighbors=106, props=0.013636363670229912), Row(neighbors=76, props=0.013636363670229912), Row(neighbors=93, props=0.013636363670229912), Row(neighbors=77, props=0.013636363670229912), Row(neighbors=27, props=0.013636363670229912), Row(neighbors=2, props=0.0037499999161809683), Row(neighbors=64, props=0.0037499999161809683), Row(neighbors=37, props=0.0037499999161809683), Row(neighbors=113, props=0.0037499999161809683), Row(neighbors=79, props=0.0037499999161809683), Row(neighbors=52, props=0.0037499999161809683), Row(neighbors=82, props=0.0037499999161809683), Row(neighbors=111, props=0.0037499999161809683), Row(neighbors=69, props=0.0037499999161809683), Row(neighbors=51, props=0.0037499999161809683), Row(neighbors=102, props=0.0037499999161809683), Row(neighbors=56, props=0.0037499999161809683), Row(neighbors=44, props=0.0037499999161809683), Row(neighbors=41, props=0.0037499999161809683), Row(neighbors=55, props=0.0037499999161809683), Row(neighbors=11, props=0.0037499999161809683)]"
