,y,x,updates
0,64.0,40.0,0.0038038473754161747
1,64.0,24.0,9.076425923428793e-05
2,64.0,59.0,0.006517654601736087
3,64.0,33.0,0.0022236947122606064
4,64.0,69.0,0.0011118621426001825
5,64.0,41.0,0.0010210978833658946
6,64.0,48.0,0.0022236947122606064
7,64.0,57.0,0.0038224507540592363
8,64.0,102.0,0.002886807628794783
9,64.0,73.0,0.020149664405323973
10,64.0,111.0,0.002886807628794783
11,64.0,89.0,0.003713083116181887
12,64.0,72.0,0.27753110866969727
13,64.0,71.0,9.076425923428793e-05
14,64.0,28.0,0.0022236947122606064
15,64.0,114.0,0.03973806290649085
16,64.0,113.0,0.007271798781471723
17,64.0,104.0,0.0002669537036302586
18,64.0,103.0,0.002047505267864636
19,64.0,79.0,0.0029778388919962425
20,64.0,62.0,0.001956741008630348
21,64.0,75.0,0.10074832413988992
22,64.0,88.0,0.003713083116181887
23,64.0,53.0,0.006250700898105828
24,64.0,9.0,0.002047505267864636
25,64.0,34.0,0.001956741008630348
26,64.0,80.0,0.0002669537036302586
27,64.0,68.0,0.02024042866455826
28,64.0,92.0,0.0018657097454288884
29,64.0,94.0,0.0002669537036302586
30,64.0,105.0,0.0002669537036302586
31,64.0,39.0,0.006250700898105828
32,64.0,15.0,0.001956741008630348
33,64.0,26.0,0.039647298647256565
34,64.0,76.0,0.0038038473754161747
35,64.0,47.0,0.02024042866455826
36,64.0,56.0,0.0012880515869961532
37,64.0,4.0,0.03973806290649085
38,64.0,51.0,0.0030686031512305303
39,64.0,54.0,0.0022236947122606064
40,64.0,2.0,0.007271798781471723
41,64.0,52.0,0.0012880515869961532
42,64.0,96.0,0.005669824124812235
43,64.0,61.0,0.006517654601736087
44,64.0,97.0,0.03973806290649085
45,64.0,30.0,0.001956741008630348
46,64.0,22.0,0.039647298647256565
47,64.0,20.0,0.006250700898105828
48,64.0,70.0,0.020149664405323973
49,64.0,64.0,0.007271798781471723
50,64.0,84.0,0.001956741008630348
51,64.0,1.0,0.006250700898105828
52,64.0,55.0,0.0010210978833658946
53,64.0,10.0,0.001956741008630348
54,64.0,19.0,0.011194258237765547
55,64.0,49.0,0.039647298647256565
56,64.0,108.0,0.006250700898105828
57,64.0,107.0,0.020149664405323973
58,64.0,83.0,0.006341465157340116
59,64.0,7.0,0.003980036819812145
60,64.0,82.0,0.0073625630407060105
61,64.0,29.0,0.006250700898105828
62,64.0,44.0,0.0011118621426001825
63,64.0,45.0,0.0038224507540592363
64,64.0,37.0,0.0029778388919962425
65,64.0,58.0,0.006250700898105828
66,64.0,23.0,9.076425923428793e-05
67,64.0,14.0,0.039647298647256565
68,64.0,13.0,0.006341465157340116
69,64.0,60.0,0.0018657097454288884
70,64.0,77.0,0.003980036819812145
71,64.0,43.0,0.001956741008630348
72,64.0,74.0,0.006250700898105828
73,64.0,93.0,0.0038038473754161747
74,64.0,11.0,0.0010210978833658946
75,64.0,91.0,0.006250700898105828
76,64.0,3.0,0.003713083116181887
77,64.0,5.0,0.001956741008630348
78,64.0,65.0,0.006517654601736087
79,64.0,63.0,0.001956741008630348
80,64.0,17.0,0.0002669537036302586
81,64.0,46.0,9.076425923428793e-05
82,64.0,86.0,0.0002669537036302586
83,64.0,106.0,0.005669824124812235
84,64.0,27.0,0.003713083116181887
85,64.0,35.0,0.001956741008630348
86,82.0,53.0,0.003952468673935573
87,82.0,47.0,0.011340794489342932
88,82.0,11.0,0.000508302549809711
89,82.0,104.0,0.0038537974899819204
90,82.0,107.0,0.010030503404114923
91,82.0,26.0,0.025085657262651037
92,82.0,113.0,0.004460771223745284
93,82.0,14.0,0.025085657262651037
94,82.0,52.0,0.0044374041261152275
95,82.0,59.0,0.00788157025024109
96,82.0,5.0,0.0012372944678431376
97,82.0,70.0,0.010046219039489823
98,82.0,9.0,0.002563301188446048
99,82.0,49.0,0.025085657262651037
100,82.0,15.0,0.0012372944678431376
101,82.0,86.0,0.0038537974899819204
102,82.0,23.0,0.0013102910852280099
103,82.0,88.0,0.0018640884959563093
104,82.0,111.0,0.02751736649761741
105,82.0,97.0,0.026698661417047142
106,82.0,68.0,0.011340794489342932
107,82.0,29.0,0.003952468673935573
108,82.0,83.0,0.005278475394538484
109,82.0,3.0,0.0018640884959563093
110,82.0,27.0,0.0018483728605814087
111,82.0,84.0,0.0012372944678431376
112,82.0,96.0,0.003160971414748142
113,82.0,4.0,0.026455536798827742
114,82.0,46.0,0.0013102910852280099
115,82.0,19.0,0.16167787541150952
116,82.0,30.0,0.0012372944678431376
117,82.0,114.0,0.026698661417047142
118,82.0,71.0,0.0013102910852280099
119,82.0,105.0,0.0038537974899819204
120,82.0,1.0,0.003952468673935573
121,82.0,20.0,0.003952468673935573
122,82.0,106.0,0.0030856673284245465
123,82.0,80.0,0.0038537974899819204
124,82.0,79.0,0.0017455970176528486
125,82.0,91.0,0.003952468673935573
126,82.0,65.0,0.00812469486846049
127,82.0,48.0,0.005409520662368053
128,82.0,35.0,0.0012372944678431376
129,82.0,41.0,0.000508302549809711
130,82.0,60.0,0.026949475496859002
131,82.0,103.0,0.0025475855530711473
132,82.0,69.0,0.0018343092704126212
133,82.0,93.0,0.0031586639458094186
134,82.0,28.0,0.0051068075931999584
135,82.0,58.0,0.0039681843093104735
136,82.0,89.0,0.0018640884959563093
137,82.0,33.0,0.005409520662368053
138,82.0,82.0,0.006089491013516289
139,82.0,51.0,0.003131192189204454
140,82.0,62.0,0.0012372944678431376
141,82.0,34.0,0.0012372944678431376
142,82.0,17.0,0.0038537974899819204
143,82.0,72.0,0.17556490634777733
144,82.0,22.0,0.02514524571359973
145,82.0,102.0,0.027457778046668713
146,82.0,92.0,0.026949475496859002
147,82.0,43.0,0.0012372944678431376
148,82.0,13.0,0.005338063845487178
